Accession;Gene;Protein;Disease/Condition;Sample;Change;Authorship;Study
P41222;PTGDS;Prostaglandin-H2 D-isomerase ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P00352;ALDH1A1;Retinal dehydrogenase 1 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q8N387;MUC15;Mucin-15 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q08648;SPAG11B;Sperm-associated antigen 11B ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P56851;EDDM3B;Epididymal secretory protein E3-beta ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P0C8F1;PATE4;Prostate and testis expressed protein 4 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q6NT32;CES5A;Carboxylesterase 5A ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P49913;CAMP;Cathelicidin antimicrobial peptide ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q9H2U9;ADAM7;Disintegrin and metalloproteinase domain-containing protein 7 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q16610;ECM1;Extracellular matrix protein 1 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P49223;SPINT3;Kunitz-type protease inhibitor 3 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P22748;CA4;Carbonic anhydrase 4 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
O43451;MGAM;Maltase-glucoamylase, intestinal [Includes: Maltase ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P54107;CRISP1;Cysteine-rich secretory protein 1 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P01009;SERPINA1;Alpha-1-antitrypsin ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q96PH6;DEFB118;Beta-defensin 118 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q08380;LGALS3BP;Galectin-3-binding protein ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q14767;LTBP2;Latent-transforming growth factor beta-binding protein 2 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q9NS15;LTBP3;Latent-transforming growth factor beta-binding protein 3 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q14118;DAG1;Dystroglycan ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q8N6Q3;CD177;CD177 antigen ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P61916;NPC2;Epididymal secretory protein E1 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q9NR99;MXRA5;Matrix-remodeling-associated protein 5 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
Q14393;GAS6;Growth arrest-specific protein 6 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P05154;SERPINA5;Plasma serine protease inhibitor ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P19801;AOC1;Amiloride-sensitive amine oxidase [copper-containing] ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P07288;KLK3;Prostate-specific antigen ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P21266;GSTM3;Glutathione S-transferase Mu 3 ;Non-obstructive azoospermia;Seminal plasma;+;Drabovich et al. 2011;Verification of Male Infertility Biomarkers in Seminal Plasma by Multiplex Selected Reaction Monitoring Assay
P41222;PTGDS;Prostaglandin-H2 D-isomerase;Non-obstructive azoospermia;Seminal plasma;-;Heshmat et al. 2007;Seminal Plasma Lipocalin-Type Prostaglandin D Synthase: A Potential New Marker for the Diagnosis of Obstructive Azoospermia
Q8WWQ8;STAB2;Stabilin 2;Non-obstructive azoospermia;Seminal plasma;-;Yamakawa et al. 2007;Comparative Analysis of Interindividual Variations in the Seminal Plasma Proteome of Fertile Men With Identification of Potential Markers for Azoospermia in Infertile Patients
Q66GS9 ;CEP135;135-kd centrosomal protein ;Non-obstructive azoospermia;Seminal plasma;-;Yamakawa et al. 2007;Comparative Analysis of Interindividual Variations in the Seminal Plasma Proteome of Fertile Men With Identification of Potential Markers for Azoospermia in Infertile Patients
Q13972 ;RASGRF1;Guanine nucleotide releasing protein;Non-obstructive azoospermia;Seminal plasma;-;Yamakawa et al. 2007;Comparative Analysis of Interindividual Variations in the Seminal Plasma Proteome of Fertile Men With Identification of Potential Markers for Azoospermia in Infertile Patients
Q9BY14;TEX101;Testis-expressed sequence 101 protein ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P07864;LDHC;L-lactate dehydrogenase C chain ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P41222;PTGDS;Prostaglandin-H2 D-isomerase ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q8N387;MUC15;Mucin-15 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P19835;CEL;Bile salt-activated lipase ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q08648;SPAG11B;Sperm-associated antigen 11B ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P00352;ALDH1A1;Retinal dehydrogenase 1 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P22748;CA4;Carbonic anhydrase 4 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
O43451;MGAM;Maltase-glucoamylase, intestinal [Includes: Maltase ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q9H2U9;ADAM7;Disintegrin and metalloproteinase domain-containing protein 7 ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P56851;EDDM3B;Epididymal secretory protein E3-beta ;Non-obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P01225;FSHB;Follitropin;Non-obstructive azoospermia;Seminal plasma;+;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P01229;LHB;Lutropin;Non-obstructive azoospermia;Seminal plasma;+;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P41222;PTGDS;Prostaglandin-H2 D-isomerase;Obstructive azoospermia;Seminal plasma;-;Heshmat et al. 2007;Seminal Plasma Lipocalin-Type Prostaglandin D Synthase: A Potential New Marker for the Diagnosis of Obstructive Azoospermia
P61916 ;NPC2;Epididymal secretory protein E1;Obstructive azoospermia;Seminal plasma;-;Yamakawa et al. 2007;Comparative Analysis of Interindividual Variations in the Seminal Plasma Proteome of Fertile Men With Identification of Potential Markers for Azoospermia in Infertile Patients
P12273 ;PIP ;Prolactin-inducible protein;Obstructive azoospermia;Seminal plasma;-;Yamakawa et al. 2007;Comparative Analysis of Interindividual Variations in the Seminal Plasma Proteome of Fertile Men With Identification of Potential Markers for Azoospermia in Infertile Patients
Q9BY14;TEX101;Testis-expressed sequence 101 protein ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P07864;LDHC;L-lactate dehydrogenase C chain ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P41222;PTGDS;Prostaglandin-H2 D-isomerase ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q8N387;MUC15;Mucin-15 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q16610;ECM1;Extracellular matrix protein 1 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P49223;SPINT3;Kunitz-type protease inhibitor 3 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P54107;CRISP1;Cysteine-rich secretory protein 1 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q08648;SPAG11B;Sperm-associated antigen 11B ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q9H2U9;ADAM7;Disintegrin and metalloproteinase domain-containing protein 7 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P19835;CEL;Bile salt-activated lipase ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P49913;CAMP;Cathelicidin antimicrobial peptide ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q96JM3;CHAMP1;Chromosome alignment-maintaining phosphoprotein 1 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q6NT32;CES5A;Carboxylesterase 5A ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
O43451;MGAM;Maltase-glucoamylase, intestinal [Includes: Maltase ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P61916;NPC2;Epididymal secretory protein E1 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P22748;CA4;Carbonic anhydrase 4 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P00352;ALDH1A1;Retinal dehydrogenase 1 ;Obstructive azoospermia;Seminal plasma;-;Drabovich et al.2013;Differential Diagnosis of Azoospermia with Proteomic Biomarkers ECM1 and TEX101 Quantified in Seminal Plasma
P01236;PRL;Prolactin;Obstructive azoospermia;Seminal plasma;-;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P01178;OXT;Oxytocin-neurophysin 1;Oligoasthenoteratozoospermia;Seminal plasma;+;Mostafa et al. 2015;Seminal plasma oxytocin and oxidative stress levels in infertile men with varicocele
O75715;GPX5;Epididymal secretory glutathione peroxidase;Oligoasthenoteratozoospermia;Seminal plasma;-;Mostafa et al. 2015;Seminal plasma oxytocin and oxidative stress levels in infertile men with varicocele
P10415;BCL2 ;Apoptosis regulator Bcl-2;Oligoasthenoteratozoospermia;Seminal plasma;-;Mostafa et al. 2014;Seminal BAX and BCL2 Gene and Protein Expressions in Infertile Men With Varicocele
P01215;CGA;Choriogonadotropin alpha chain;Oligoastheoteratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Oligoastheoteratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Oligoastheoteratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
Q546G3 ;KLK3;Kallikrein 3, ;Oligoteratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01036 ;CST4;Cystatin-S ;Oligoteratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q08380 ;LGALS3BP;Galectin-3-binding protein ;Oligoteratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P04279 ;SEMG1;Semenogelin-1 ;Oligoteratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01034 ;CST3;Cystatin-C ;Oligoteratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P61769 ;B2M;Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3];Oligoteratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q6UB99 ;ANKRD11;Ankyrin repeat domain-containing protein 11 ;Oligoteratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q06AH7 ;TF;Transferrin;Oligoteratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P03973 ;SLPI;Antileukoproteinase ;Oligoteratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P62979 ;RPS27A;Ubiquitin-40S ribosomal protein S27a ;Oligoteratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q96MF6;COQ10A;Coenzyme Q 10;Oligozoospermia;Seminal plasma;-;Abdul-Rasheed et al. 2010;Coenzyme Q10 and oxidative stress markers in seminal plasma of Iraqi patients with male infertility
P25311 ;AZGP1;Zinc-alpha-2-glycoprotein ;Oligozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P10909 ;CLU;Clusterin ;Oligozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01036 ;CST4;Cystatin-S ;Oligozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q08380 ;LGALS3BP;Galectin-3-binding protein ;Oligozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P15309 ;ACPP;Prostatic acid phosphatase ;Oligozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q6FGX5 ;TIMP1;TIMP metallopeptidase inhibitor 1, isoform CRA_a ;Oligozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P61769 ;B2M;Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3];Oligozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q6UB99 ;ANKRD11;Ankyrin repeat domain-containing protein 11 ;Oligozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01009 ;SERPINA1;Alpha-1-antitrypsin ;Oligozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q13332 ;PTPRS;Receptor-type tyrosine-protein phosphatase S ;Oligozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01225;FSHB;Follitropin;Oligozoospermia;Seminal plasma;+;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P01229;LHB;Lutropin;Oligozoospermia;Seminal plasma;+;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P01236;PRL;Prolactin;Oligozoospermia;Seminal plasma;-;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P35318;ADM;Adrenomodulin 1-52;Oligozoospermia;Seminal plasma;+;Marinonia et al. 2006;The level of adrenomedullin immunoreactivity in seminal fluid is higher in oligozoospermic subjects and correlates with semen biochemical parameters
P01215;CGA;Choriogonadotropin alpha chain;Oligozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Oligozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Oligozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P28799;GNR;progranulin ;Overweigh/Obesity AND low spermatozoa function;Seminal plasma;-;Thomas et al. 2013;Seminal plasma adipokine levels are correlated with functional characteristics of spermatozoa
Q15848;ADIPOQ;adiponectin ;Overweigh/Obesity AND low spermatozoa function;Seminal plasma;-;Thomas et al. 2013;Seminal plasma adipokine levels are correlated with functional characteristics of spermatozoa
P41159;LEP;leptin ;Overweigh/Obesity AND low spermatozoa function;Seminal plasma;-;Thomas et al. 2013;Seminal plasma adipokine levels are correlated with functional characteristics of spermatozoa
Q99969;RARRES2;chemerin ;Overweigh/Obesity AND low spermatozoa function;Seminal plasma;+;Thomas et al. 2013;Seminal plasma adipokine levels are correlated with functional characteristics of spermatozoa
Q8IW75;SERPINA12;vaspin ;Overweigh/Obesity AND low spermatozoa function;Seminal plasma;+;Thomas et al. 2013;Seminal plasma adipokine levels are correlated with functional characteristics of spermatozoa
P02751;FN1 ;fibronectin 1 isoform b precursor;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P14174 ;MIF ;macrophage migration inhibitory factor-1 peptide ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
Q08380 ;LGALS3BP ;galectin 3 binding protein;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P01036 ;CST4 ;cystatin S precursor;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P02768 ;ALB ;albumin preprotein;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P02788 ;LTF ;lactotransferrin precursor-1 peptide;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P07288 ;KLK3 ;prostate specific antigen isoform 4 preprotein ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P12273 ;PIP ;prolactin induced protein;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
Q02383 ;SEMG2 ;semenogelin II precursor;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P15309 ;ACPP ;acid phosphatase, prostate short isoform precursor ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P10909 ;CLU ;clusterin preprotein;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P25311 ;AZGP1 ;zinc alpha-2-glycoprotein 1;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
Q546G3 ;KLK3 ;prostate specific antigen isoform 1 preprotein ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
P04279 ;SEMG1 ;semenogelin I isoform a preprotein ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of seminal fluid from men exhibiting oxidative stress 
Q8TDM5;SPACA4;Sperm acrosome membrane-associated protein 4;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P68133;ACTA1;Actin, alpha skeletal muscle ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
Q9HDC9;APMAP;Adipocyte plasma membrane-associated protein ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P15104;GLUL;Glutamine synthetase ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P36969;GPX4;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P11021;HSPA5;78 kDa glucose-regulated protein ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P14625;HSP90B1;Endoplasmin ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
Q96A08;HIST1H2BA;Histone H2B type 1-A ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P40926;MDH2;Malate dehydrogenase, mitochondrial ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
Q6UX06;OLFM4;Olfactomedin-4 ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P49221;TGM4;Protein-glutamine gamma-glutamyltransferase 4 ;Oxidative Stress;Seminal plasma;+;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
Q00610;CLTC;Clathrin heavy chain 1 ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P55060;CSE1L;Exportin-2 ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P06733;ENO1;Alpha-enolase ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P13639;EEF2;Elongation factor 2 ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
P30041;PRDX6;Peroxiredoxin-6 ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
